Time, x, y, z
1, 569, 299, -10
1, 592, 398, -10
1, 611, 371, -10
1, 660, 413, -10
1, 690, 483, -10
2, 719, 509, -10
2, 725, 518, -10
2, 745, 510, -10
2, 754, 502, -10
2, 766, 488, -10
2, 794, 476, -10
2, 780, 455, -10
2, 764, 425, -10
2, 743, 413, -10
2, 722, 422, -10
2, 701, 443, -10
3, 680, 464, -10
3, 621, 525, -10
3, 572, 589, -10
3, 474, 734, -10
3, 493, 755, -10
3, 521, 778, -10
3, 540, 811, -10
4, 563, 797, -10
4, 577, 781, -10
4, 589, 755, -10
4, 569, 732, -10
4, 545, 718, -10
4, 524, 704, -10
4, 515, 720, -10
4, 492, 750, -10
4, 569, 797, -10
3, 422, 851, -10
3, 523, 923, -10
5, 575, 937, -10
5, 584, 956, -10
5, 605, 935, -10
5, 577, 907, -10
3, 556, 891, -10
3, 502, 938, -10
3, 366, 1079, -10
3, 272, 1198, -10
3, 181, 1310, -10
3, 127, 1458, -10
3, 284, 1575, -10
3, 225, 1648, -10
3, 388, 1753, -10
3, 412, 1814, -10
3, 536, 1788, -10
3, 611, 1720, -10
3, 701, 1724, -10
2, 801, 1681, -10
2, 874, 1693, -10
2, 926, 1745, -10
2, 1034, 1872, -10




 
 
