Time, x, y, z
50, 69, 99, 100
50, 92, 98, 100
50, 11, 71, 100
50, 60, 13, 100
1, 190, 83, 100
80, 19, 09, 100
80, 25, 18, 100
80, 45, 10, 100
80, 54, 02, 100
80, 66, 88, 100
80, 94, 76, 100
10, 80, 55, 100
10, 764, 225, 100
10, 743, 213, 100
1, 722, 222, 100
10, 701, 243, -10
10, 680, 264, -10
10, 621, 525, -10
10, 572, 589, -10
300 474, 734, -10
300, 493, 755, -10
300, 521, 778, -10
3, 540, 811, -10
1, 5, 9, 12
1, 5, 9, 12
27, 38, 52,18
47,59, 69, 24
70,32, 37, 33
200,32, 37, 33
300,32, 37, 33
10,32, 37, 33
30,32, 37, 33
40,32, 37, 33



 
 
